Repo,URL,Stars,Language
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,13160,Python
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,83510,Python
SakanaAI/AI-Scientist-v2,https://github.com/SakanaAI/AI-Scientist-v2,3037,Python
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,24842,Python
twentyhq/twenty,https://github.com/twentyhq/twenty,42130,TypeScript
datalab-to/chandra,https://github.com/datalab-to/chandra,7190,Python
obra/superpowers,https://github.com/obra/superpowers,119300,Shell
virattt/dexter,https://github.com/virattt/dexter,19852,TypeScript
Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,14253,TypeScript
FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,29770,C++
