Rank,Name,Role / Institution,Expertise
1,Prof. Jaydip Sen,Professor at Praxis Tech School,"AI, ML, Network Security"
2,Prof. Susmita Ghosh,Professor at Jadavpur University,"Computer Vision, Pattern Recognition"
3,Prof. Ujjwal Maulik,Professor at Jadavpur University,"Computational Intelligence, Bioinformatics"
4,Joy Mustafi,Founder of MUST Research,"Applied AI, Natural Language Processing"
5,Prof. Subhadip Basu,Professor at Jadavpur University,"Pattern Recognition, Image Processing"
6,Debashish Banerjee,Analytics Leader / Consultant,"Actuarial Science, Analytics Advisory"
7,Arpan Hazra,Research Scientist at GE Research,"Machine Learning, Industrial IoT"
8,Kathakali Seth,Data Scientist at TCS,"Enterprise Digital Twins, Predictive Modeling"
9,Rahul Kushwaha,Data Scientist at Walmart,"Deep Learning, ML Engineering"
10,Abhishek Kumar,Senior Data Scientist at Shell,"Industrial Data Science, Energy Analytics"
11,Abhiroop Chatterjee,Researcher at Jadavpur University,"Advanced Deep Learning, Computer Vision"
12,Naveen Ojha,Senior Data Scientist at Zomato,"Product Analytics, ML Pipelines"
13,Shaunak Gupta,Staff Data Scientist at Agoda,"Large-scale Analytics, Behavioral Modeling"
14,Pranta Das,Data Scientist at UnitedHealth Group,"Healthcare Analytics, Predictive AI"
15,Ujjwal Kar,ML & Applied AI Engineer,"Deployable ML Systems, Full-stack Data Science"
16,Kamlesh Nayak,Senior Data Scientist at Oracle,"Cloud Data Science, Database Optimization"
17,Abhishek Bakshi,Senior Data Scientist at FinBox,"Fintech Analytics, Risk Modeling"
18,Ankan Kumar Das,Data Scientist at Optum,"Clinical Data Analysis, Deep Learning"
19,Siddharth Jain,Senior Data Scientist at Tiger Analytics,"Consulting, Marketing Mix Modeling"
20,Mayur Chhabra,Data Scientist at Aviso,"Revenue AI, Forecasting"
